t,joint_name,side,angle_deg
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
15.937999999965541,5.1425851453667555,5.1425851453667555,16.78057589877615,16.78057589877615
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.0,5.600282019051505,5.600282019051505,16.380027530679975,16.380027530679975
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.0,5.600282019051505,5.600282019051505,16.380027530679975,16.380027530679975
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.0,5.600282019051505,5.600282019051505,16.380027530679975,16.380027530679975
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.0,5.600282019051505,5.600282019051505,16.380027530679975,16.380027530679975
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.0,5.600282019051505,5.600282019051505,16.380027530679975,16.380027530679975
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.0,5.600282019051505,5.600282019051505,16.380027530679975,16.380027530679975
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.0,5.600282019051505,5.600282019051505,16.380027530679975,16.380027530679975
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.0,5.600282019051505,5.600282019051505,16.380027530679975,16.380027530679975
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.06299999996554,5.600282019051505,5.600282019051505,16.380027530679975,16.380027530679975
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.06299999996554,5.600282019051505,5.600282019051505,16.380027530679975,16.380027530679975
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.06299999996554,5.600282019051505,5.600282019051505,16.380027530679975,16.380027530679975
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.06299999996554,5.600282019051505,5.600282019051505,16.380027530679975,16.380027530679975
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.10999999998603,5.095468543481613,5.095468543481613,17.10951959737788,17.10951959737788
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.10999999998603,5.095468543481613,5.095468543481613,17.10951959737788,17.10951959737788
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.10999999998603,5.095468543481613,5.095468543481613,17.10951959737788,17.10951959737788
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.10999999998603,5.095468543481613,5.095468543481613,17.10951959737788,17.10951959737788
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.17199999996228,5.095468543481613,5.095468543481613,17.10951959737788,17.10951959737788
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.17199999996228,5.095468543481613,5.095468543481613,17.10951959737788,17.10951959737788
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.17199999996228,5.095468543481613,5.095468543481613,17.10951959737788,17.10951959737788
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.17199999996228,5.095468543481613,5.095468543481613,17.10951959737788,17.10951959737788
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.21899999998277,5.095468543481613,5.095468543481613,17.10951959737788,17.10951959737788
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.21899999998277,5.095468543481613,5.095468543481613,17.10951959737788,17.10951959737788
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.21899999998277,5.095468543481613,5.095468543481613,17.10951959737788,17.10951959737788
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.21899999998277,5.095468543481613,5.095468543481613,17.10951959737788,17.10951959737788
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.21899999998277,5.332264777021006,5.332264777021006,16.358094215980163,16.358094215980163
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.21899999998277,5.332264777021006,5.332264777021006,16.358094215980163,16.358094215980163
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.21899999998277,5.332264777021006,5.332264777021006,16.358094215980163,16.358094215980163
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.21899999998277,5.332264777021006,5.332264777021006,16.358094215980163,16.358094215980163
t,shoulder_L_abd_raw,shoulder_L_abd_smoothed,shoulder_R_abd_raw,shoulder_R_abd_smoothed
16.26600000000326,5.332264777021006,5.332264777021006,16.358094215980163,16.358094215980163
